Country_Region,Confirmed,Deaths,Recovered,Active
,sum,sum,sum,sum
Afghanistan,110,4,2,104
Albania,197,10,31,156
Algeria,454,29,31,394
Andorra,308,3,1,304
Angola,5,0,0,5
Antigua and Barbuda,7,0,0,7
Argentina,690,18,72,600
Armenia,407,1,30,376
Australia,3640,14,244,3382
Austria,8271,68,225,7978
Azerbaijan,182,4,15,163
Bahamas,10,0,1,9
Bahrain,476,4,265,207
Bangladesh,48,5,15,28
Barbados,26,0,0,26
Belarus,94,0,32,62
Belgium,9134,353,1063,7718
Belize,2,0,0,2
Benin,6,0,0,6
Bhutan,3,0,0,3
Bolivia,74,0,0,74
Bosnia and Herzegovina,258,5,5,248
Brazil,3904,111,6,3787
Brunei,120,1,25,94
Bulgaria,331,7,11,313
Burkina Faso,207,11,21,175
Burma,8,0,0,8
Cabo Verde,5,1,0,4
Cambodia,99,0,13,86
Cameroon,91,2,2,87
Canada,5576,61,466,0
Central African Republic,3,0,0,3
Chad,3,0,0,3
Chile,1909,6,61,1842
China,81999,3299,75100,3600
Colombia,608,6,10,592
Congo (Brazzaville),4,0,0,4
Congo (Kinshasa),65,6,2,57
Costa Rica,295,2,3,290
Cote d'Ivoire,101,0,3,98
Croatia,657,5,45,607
Cuba,119,3,4,112
Cyprus,179,5,15,159
Czechia,2631,11,11,2609
Denmark,2366,65,57,2244
Diamond Princess,712,10,597,105
Djibouti,14,0,0,14
Dominica,11,0,0,11
Dominican Republic,719,28,3,688
Ecuador,1823,48,3,1772
Egypt,576,36,121,419
El Salvador,19,0,0,19
Equatorial Guinea,12,0,0,12
Eritrea,6,0,0,6
Estonia,645,1,20,624
Eswatini,9,0,0,9
Ethiopia,16,0,1,15
Fiji,5,0,0,5
Finland,1167,9,10,1148
France,38105,2317,5724,30064
Gabon,7,1,0,6
Gambia,3,1,0,2
Georgia,90,0,14,76
Germany,57695,433,8481,48781
Ghana,141,5,2,134
Greece,1061,32,52,977
Grenada,7,0,0,7
Guatemala,34,1,10,23
Guinea,8,0,0,8
Guinea-Bissau,2,0,0,2
Guyana,8,1,0,7
Haiti,8,0,0,8
Holy See,6,0,0,6
Honduras,95,1,3,91
Hungary,343,11,34,298
Iceland,963,2,114,847
India,987,24,84,879
Indonesia,1155,102,59,994
Iran,35408,2517,11679,21212
Iraq,506,42,131,333
Ireland,2415,36,5,2374
Israel,3619,12,89,3518
Italy,92472,10023,12384,70065
Jamaica,30,1,2,27
Japan,1693,52,404,1237
Jordan,246,1,18,227
Kazakhstan,228,1,16,211
Kenya,38,1,1,36
"Korea, South",9478,144,4811,4523
Kosovo,91,1,1,89
Kuwait,235,0,64,171
Kyrgyzstan,58,0,0,58
Laos,8,0,0,8
Latvia,305,0,1,304
Lebanon,412,8,30,374
Liberia,3,0,0,3
Libya,3,0,0,3
Liechtenstein,56,0,0,56
Lithuania,394,7,1,386
Luxembourg,1831,18,40,1773
MS Zaandam,2,0,0,2
Madagascar,26,0,0,26
Malaysia,2320,27,320,1973
Maldives,16,0,9,7
Mali,18,0,0,18
Malta,149,0,2,147
Mauritania,5,0,0,5
Mauritius,102,2,0,100
Mexico,717,12,4,701
Moldova,231,2,2,227
Monaco,42,0,1,41
Mongolia,12,0,0,12
Montenegro,84,1,0,83
Morocco,402,25,11,366
Mozambique,8,0,0,8
Namibia,8,0,2,6
Nepal,5,0,1,4
Netherlands,9819,640,6,9173
New Zealand,451,0,50,401
Nicaragua,4,1,0,3
Niger,10,1,0,9
Nigeria,89,1,3,85
North Macedonia,241,4,3,234
Norway,4015,23,7,3985
Oman,152,0,23,129
Pakistan,1495,12,29,1454
Panama,786,14,2,770
Papua New Guinea,1,0,0,1
Paraguay,56,3,1,52
Peru,671,16,16,639
Philippines,1075,68,35,972
Poland,1638,18,7,1613
Portugal,5170,100,43,5027
Qatar,590,1,45,544
Romania,1452,37,139,1276
Russia,1264,4,49,1211
Rwanda,60,0,0,60
Saint Kitts and Nevis,2,0,0,2
Saint Lucia,3,0,1,2
Saint Vincent and the Grenadines,1,0,1,0
San Marino,224,22,6,196
Saudi Arabia,1203,4,37,1162
Senegal,130,0,18,112
Serbia,659,10,0,649
Seychelles,8,0,0,8
Singapore,802,2,198,602
Slovakia,292,0,2,290
Slovenia,684,9,10,665
Somalia,3,0,0,3
South Africa,1187,1,31,1155
Spain,73235,5982,12285,54968
Sri Lanka,113,1,9,103
Sudan,5,1,0,4
Suriname,8,0,0,8
Sweden,3447,105,16,3326
Switzerland,14076,264,1530,12282
Syria,5,0,0,5
Taiwan*,283,2,30,251
Tanzania,14,0,1,13
Thailand,1245,6,97,1142
Timor-Leste,1,0,0,1
Togo,25,1,1,23
Trinidad and Tobago,74,3,1,70
Tunisia,278,8,2,268
Turkey,7402,108,70,7224
US,121478,2026,1072,0
Uganda,30,0,0,30
Ukraine,356,9,5,342
United Arab Emirates,468,2,52,414
United Kingdom,17312,1021,151,16140
Uruguay,274,0,0,274
Uzbekistan,104,2,5,97
Venezuela,119,2,39,78
Vietnam,174,0,21,153
West Bank and Gaza,98,1,18,79
Zambia,28,0,0,28
Zimbabwe,7,1,0,6
